Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
1/3/2023,PreWorkout,598.2,5.9,1.5,1.2,1.2,0,12.5,721.5,320,101.1,4.6,34.6,36.9,23,33,50,46,
1/4/2023,Breakfast,408.9,16.1,5.3,1.4,4.8,0,192.1,157.8,234.4,42.6,9.2,15.5,23.7,6,0,70.1,12.5,
1/4/2023,Dinner,460,16,10,0,0,0,50,1140,144,54,4,10,24,0,0,50,12,
1/4/2023,Evening,275,4.3,1.5,0,0,0,5,220,255,26.5,0,14.5,31,0,10,18,4,
1/4/2023,Lunch,402.4,5.5,2.5,0,0,0,13.3,363,284.4,51.1,5,2.5,34,0,0.9,12.3,3.6,
1/4/2023,Morning,416.7,12.7,4.7,0.1,1.1,0,119.6,356.7,785.8,42.3,6.8,8.6,29.1,1011.4,63.9,52.6,12,
1/4/2023,PreWorkout,664.5,13.1,3,2.7,5.2,0,15,1062,380,97.7,5.3,35.7,40.2,23.9,33.9,54.9,54.5,
1/5/2023,Breakfast,408.9,16.1,5.3,1.4,4.8,0,192.1,157.8,234.4,42.6,9.2,15.5,23.7,6,0,70.1,12.5,
1/5/2023,Dinner,460,16,10,0,0,0,50,1140,144,54,4,10,24,0,0,50,12,
1/5/2023,Evening,410,11.5,3,0,0,0,5,310,365,42.5,1,19,34.5,0,10,20.7,6.8,
1/5/2023,Lunch,527,5.8,2.5,0.1,0,0,13.3,494,468.9,55.3,5.7,3.9,59.4,1.4,24.3,22.8,4.8,
1/5/2023,Morning,416.7,12.7,4.7,0.1,1.1,0,119.6,356.7,785.8,42.3,6.8,8.6,29.1,1011.4,63.9,52.6,12,
1/5/2023,PreWorkout,520.1,6.3,1.5,1.3,1.3,0,12.5,643.9,220,106.9,5.1,37.3,12.6,25.3,25.3,42.3,50.6,
1/6/2023,Breakfast,408.9,16.1,5.3,1.4,4.8,0,192.1,157.8,234.4,42.6,9.2,15.5,23.7,6,0,70.1,12.5,
1/6/2023,Dinner,475,12.3,7,0,0,0,30,850,0,77.5,2.5,2.5,12.5,8,0,10,5,
1/6/2023,Evening,105,7,3.5,0,0,0,15,125,0,9,0,0,1,0,0,0,0,
1/6/2023,Lunch,527,5.8,2.5,0.1,0,0,13.3,494,468.9,55.3,5.7,3.9,59.4,1.4,24.3,22.8,4.8,
1/6/2023,Morning,416.7,12.7,4.7,0.1,1.1,0,119.6,356.7,785.8,42.3,6.8,8.6,29.1,1011.4,63.9,52.6,12,
1/7/2023,Breakfast,415.9,16.6,5.5,1.5,5,0,210.6,164.8,234.4,42.6,9.2,15.5,24.3,6.6,0,70.3,12.9,
1/7/2023,Dinner,517.5,16,5,0,0,0,150,1262.5,332,60.5,1,15.5,32,0,0,2.2,11.1,
1/7/2023,Evening,350,12,4.5,0,0,0,5,250,430,27,2,19,35,0,10,23.3,9.6,
1/7/2023,Lunch,417,5.8,2.5,0.1,0,0,13.3,364,368.9,54.3,5.7,3.9,34.4,1.4,14.3,12.8,4.8,
1/7/2023,Morning,670.7,13.1,2.5,1.2,1.2,0,17.5,982,284,126.8,12.8,35.7,32.2,23.9,23.9,406.9,47.8,
1/7/2023,PreWorkout,110,0,0,0,0,0,0,130,100,1,0,0,25,0,10,10,0,
1/8/2023,Breakfast,415.9,16.6,5.5,1.5,5,0,210.6,164.8,234.4,42.6,9.2,15.5,24.3,6.6,0,70.3,12.9,
1/8/2023,Dinner,498,16,4.6,0,0,0,20,244.2,136.7,48,3,3.6,38.2,5.2,11.2,12.5,4.6,
1/8/2023,Evening,280,7,3,0,0,0,5,210,335,21.5,1,16,32.5,0,10,20.7,6.8,
1/8/2023,Lunch,414.4,9.1,4.7,0,0.3,0,20,746.2,198.3,63.2,3.8,19.8,19.3,18.6,8,63.6,13.4,
1/8/2023,Morning,500.7,6.1,1.5,1.2,1.2,0,12.5,612,220,102.8,4.8,35.7,12.2,23.9,23.9,40.9,47.8,
1/8/2023,PreWorkout,496.7,12.7,4.7,0.1,1.1,0,119.6,476.7,885.8,38,4.8,7.3,52.1,1008.7,13.9,61.3,9.3,
1/9/2023,Breakfast,408.9,16.1,5.3,1.4,4.8,0,192.1,157.8,234.4,42.6,9.2,15.5,23.7,6,0,70.1,12.5,
1/9/2023,Dinner,498,16,4.6,0,0,0,20,244.2,136.7,48,3,3.6,38.2,5.2,11.2,12.5,4.6,
1/9/2023,Evening,187.5,3.1,1.5,0,0,0,5,130,197.5,20.8,0,13.8,18,0,5,13,4,
1/9/2023,Lunch,414.9,5.8,2.5,0,0,0,13.3,364.2,311.9,53.1,5.4,3.5,34.4,0,0.9,12.3,3.8,
1/9/2023,Morning,469.5,15.7,5,0.3,3.4,0,119.6,391.4,861.7,48.2,6.8,10.9,29.4,1011.4,63.9,67.8,13.5,
1/9/2023,PreWorkout,732.9,6.3,2.3,1.5,1.4,0,12.5,499,1052,137.7,8.4,58.8,38.3,17.3,33.3,46.4,99,
1/10/2023,Breakfast,408.9,16.1,5.3,1.4,4.8,0,192.1,157.8,234.4,42.6,9.2,15.5,23.7,6,0,70.1,12.5,
1/10/2023,Dinner,517.5,16,5,0,0,0,150,1262.5,332,60.5,1,15.5,32,0,0,2.2,11.1,
1/10/2023,Evening,295,8,3.5,0,0,0,25,235,210,37.5,1,24,18.5,0,5,17,0,
1/10/2023,Lunch,524.9,5.8,2.5,0,0,0,13.3,494.2,411.9,54.1,5.4,3.5,59.4,0,10.9,22.3,3.8,
1/10/2023,Morning,469.5,15.7,5,0.3,3.4,0,119.6,391.4,861.7,48.2,6.8,10.9,29.4,1011.4,63.9,67.8,13.5,
1/10/2023,PreWorkout,428.7,12.3,5.3,1.5,1.4,0,12.5,368.9,969.3,76.6,9.6,23.7,15.2,17,22.5,37.3,104.6,
1/11/2023,Breakfast,408.9,16.1,5.3,1.4,4.8,0,192.1,157.8,234.4,42.6,9.2,15.5,23.7,6,0,70.1,12.5,
1/11/2023,Dinner,640,16.5,6.1,0,0,0,132.5,1445,480,89.5,2,15.3,31.5,3,0,79.8,32,
1/11/2023,Lunch,524.9,5.8,2.5,0,0,0,13.3,494.2,411.9,54.1,5.4,3.5,59.4,0,10.9,22.3,3.8,
1/11/2023,Morning,469.5,15.7,5,0.3,3.4,0,119.6,391.4,861.7,48.2,6.8,10.9,29.4,1011.4,63.9,67.8,13.5,
1/11/2023,PreWorkout,444.6,6.3,2.3,1.5,1.4,0,12.5,331.3,898.3,92.8,8,20.9,13.1,16.8,22,35.7,98.9,
1/12/2023,Breakfast,408.9,16.1,5.3,1.4,4.8,0,192.1,157.8,234.4,42.6,9.2,15.5,23.7,6,0,70.1,12.5,
1/12/2023,Dinner,577.3,13.7,5.4,0.5,0,0,127.5,953.8,712.7,59.9,4.5,5.5,50.7,9,7.6,36.5,3.9,
1/12/2023,Evening,120,4,2.5,0,0,0,15,100,160,16,0,15,4,0,0,12,0,
1/12/2023,Lunch,524.9,5.8,2.5,0,0,0,13.3,494.2,411.9,54.1,5.4,3.5,59.4,0,10.9,22.3,3.8,
1/12/2023,Morning,469.5,15.7,5,0.3,3.4,0,119.6,391.4,861.7,48.2,6.8,10.9,29.4,1011.4,63.9,67.8,13.5,
1/12/2023,PreWorkout,500.7,6.1,1.5,1.2,1.2,0,12.5,612,220,102.8,4.8,35.7,12.2,23.9,23.9,40.9,47.8,
1/13/2023,Breakfast,408.9,16.1,5.3,1.4,4.8,0,192.1,157.8,234.4,42.6,9.2,15.5,23.7,6,0,70.1,12.5,
1/13/2023,Dinner,546.5,16,5.5,0,0,0,112.5,645,1140,55.9,3.8,7.2,41.3,0,0,8.8,23.9,
1/13/2023,Evening,164,4,2.5,0,0,0,15,152,200,16.4,0,15,14,0,4,16,0,
1/13/2023,Lunch,524.9,5.8,2.5,0,0,0,13.3,494.2,411.9,54.1,5.4,3.5,59.4,0,10.9,22.3,3.8,
1/13/2023,Morning,469.5,15.7,5,0.3,3.4,0,119.6,391.4,861.7,48.2,6.8,10.9,29.4,1011.4,63.9,67.8,13.5,
1/13/2023,PreWorkout,626.2,6.3,1.5,1.3,1.3,0,12.5,662.5,220,133.1,5,61,12.5,25,25,42,50,
1/14/2023,Breakfast,408.9,16.1,5.3,1.4,4.8,0,192.1,157.8,234.4,42.6,9.2,15.5,23.7,6,0,70.1,12.5,
1/14/2023,Dinner,601.3,21.4,6.1,0,0,0,92.5,885.7,601.3,68,14.2,4.9,34.5,4,3.5,13.5,23.9,
1/14/2023,Evening,430,4,0,2,1,0,0,560,320,65,6,28,33,50,10,26,40,
1/14/2023,Lunch,330,11,4.5,0,0,0,15,270,163,19,6,1,43,0,10,28.5,0,
1/14/2023,Morning,469.5,15.7,5,0.3,3.4,0,119.6,391.4,861.7,48.2,6.8,10.9,29.4,1011.4,63.9,67.8,13.5,
1/14/2023,PreWorkout,363.5,6.4,2.3,1.5,1.4,0,12.5,331.5,959.1,72.6,8.4,23,13.3,17.3,23.5,36.5,99,
1/15/2023,Dinner,434,14.6,4.2,2.4,5.4,0,0,680,276,59.4,4.8,5,17.4,15,2,72,6.9,
1/15/2023,Lunch,264.4,5.1,2.7,0,0.3,0,20,586.2,188.3,34.2,3.3,3.8,18.3,18.6,8,63.6,10.1,
1/15/2023,Morning,470,12.4,3.6,0.2,1,0,1,606,554.4,47.8,13.8,13,47.2,0,10,111.1,19.9,
1/15/2023,PreWorkout,414.9,5.8,2.5,0,0,0,13.3,364.2,311.9,53.1,5.4,3.5,34.4,0,0.9,12.3,3.8,
1/16/2023,Breakfast,408.9,16.1,5.3,1.4,4.8,0,192.1,157.8,234.4,42.6,9.2,15.5,23.7,6,0,70.1,12.5,
1/16/2023,Dinner,360,14.3,3.5,0,0,0,58,431,10,42.1,0.6,8,14.8,0,0,0,0,
1/16/2023,Evening,200,7,3.5,0,0,0,0,200,77,25,15,1,20,0,0,3.1,22.2,
1/16/2023,Lunch,524.9,5.8,2.5,0,0,0,13.3,494.2,411.9,54.1,5.4,3.5,59.4,0,10.9,22.3,3.8,
1/16/2023,Morning,469.5,15.7,5,0.3,3.4,0,119.6,391.4,861.7,48.2,6.8,10.9,29.4,1011.4,63.9,67.8,13.5,
1/16/2023,PreWorkout,446.2,3.8,0,1.3,1.3,0,0,575,0,99.1,5,30,7.5,25,25,25,50,
1/17/2023,Breakfast,408.9,16.1,5.3,1.4,4.8,0,192.1,157.8,234.4,42.6,9.2,15.5,23.7,6,0,70.1,12.5,
1/17/2023,Dinner,601.3,21.4,6.1,0,0,0,92.5,885.7,601.3,68,14.2,4.9,34.5,4,3.5,13.5,23.9,
1/17/2023,Evening,148,0,0,0,0,0,0,109,80,14.8,0,13,20,0,8,8,0,
1/17/2023,Lunch,524.9,5.8,2.5,0,0,0,13.3,494.2,411.9,54.1,5.4,3.5,59.4,0,10.9,22.3,3.8,
1/17/2023,Morning,469.5,15.7,5,0.3,3.4,0,119.6,391.4,861.7,48.7,6.8,10.9,29.4,1011.4,63.9,67.8,13.5,
1/17/2023,PreWorkout,459.7,6.4,2.3,1.5,1.4,0,12.5,331.5,959.1,96.7,8.4,23,13.3,17.3,23.5,36.5,99,
1/18/2023,Breakfast,437.1,16.4,5.4,1.4,4.9,0,203.2,167.3,249.4,49.2,9.2,18,24.1,6.4,0,72.2,13.7,
1/18/2023,Dinner,410.8,14.3,8.9,0,0,0,44.7,1018,128.6,48.2,3.6,8.9,21.4,0,0,44.7,10.7,
1/18/2023,Evening,195,6.1,1.8,0,0,0,0,178.6,215.3,7.7,1.2,3.6,28,0,10,13.2,3.4,
1/18/2023,Lunch,530.9,5.8,2.5,0,0,0,13.3,495.2,411.9,55.6,5.4,3.5,59.9,0,10.9,22.3,3.8,
1/18/2023,Morning,469.5,15.7,5,0.3,3.4,0,119.6,391.4,861.7,48.7,6.8,10.9,29.4,1011.4,63.9,67.8,13.5,
1/18/2023,PreWorkout,694.6,6,1.5,1.2,1.2,0,12.5,630.3,220,151.4,4.7,59.3,12.1,23.6,23.6,40.6,47.2,
1/19/2023,Breakfast,442.7,16.8,5.5,1.5,5.1,0,218,172.9,249.4,49.2,9.2,18,24.5,6.8,0,72.4,14.1,
1/19/2023,Dinner,385,8.8,0,0,0,0,0,510,0,64.5,1.5,1.5,11.5,0,0,6,3,
1/19/2023,Lunch,530.9,5.8,2.5,0,0,0,13.3,495.2,411.9,55.6,5.4,3.5,59.9,0,10.9,22.3,3.8,
1/19/2023,Morning,469.5,15.7,5,0.3,3.4,0,119.6,391.4,861.7,48.7,6.8,10.9,29.4,1011.4,63.9,67.8,13.5,
1/19/2023,PreWorkout,400.4,6,1.5,1.2,1.2,0,12.5,605.3,220,78.3,4.7,35.3,12.1,23.6,23.6,40.6,47.2,
1/20/2023,Breakfast,442.7,16.8,5.5,1.5,5.1,0,218,172.9,249.4,49.2,9.2,18,24.5,6.8,0,72.4,14.1,
1/20/2023,Dinner,460.5,14.6,5.1,2.2,2.5,0,100.5,1215.6,1122.7,44.5,10.3,10.6,36.1,6.5,185.4,16.2,13,
1/20/2023,Evening,230,4,2.5,0,0,0,15,230,260,17,0,15,29,0,10,22,0,
1/20/2023,Lunch,110,0,0,0,0,0,0,130,100,1,0,0,25,0,10,10,0,
1/20/2023,Morning,715.1,32,10.3,3.6,13.4,0,400.3,968.9,634.7,72.7,5.3,2.8,33.6,19.9,7.5,83.2,10.5,
1/20/2023,PreWorkout,876.2,27,3,0,0,0,15,30,0,144.1,3,66,12,0,0,0,0,
1/21/2023,Breakfast,432.9,16.1,5.3,1.4,4.8,0,192.1,163.1,249.4,49.2,9.2,18,23.7,6,0,72.1,13.5,
1/21/2023,Dinner,488,16.9,6.4,2.2,2.5,0,106.8,1258.1,1122.7,45,10.3,10.6,37.6,6.5,185.4,20,13,
1/21/2023,Evening,69.6,0,0,0,0,0,0,82.3,63.3,0.6,0,0,15.8,0,6.3,6.3,0,
1/21/2023,Lunch,414.9,5.8,2.5,0,0,0,13.3,364.2,311.9,53.1,5.4,3.5,34.4,0,0.9,12.3,3.8,
1/21/2023,Morning,793.9,18.8,5.7,0.3,3.7,0,175.6,957.6,861.7,111.9,9.1,17.7,40.7,1030,63.9,120.4,19.6,
1/21/2023,PreWorkout,564.6,6.1,1.5,1.2,1.2,0,12.5,1945.9,220,119.6,4.8,48,12.3,24.2,24.2,41.2,49.3,
1/22/2023,Breakfast,432.9,16.1,5.3,1.4,4.8,0,192.1,163.1,249.4,49.2,9.2,18,23.7,6,0,72.1,13.5,
1/22/2023,Dinner,504.3,8.8,1,0.8,0.8,0,45,520.2,700.1,71.2,2.7,4.7,33.5,5.8,5.7,2.7,10.1,
1/22/2023,Evening,588.4,20.5,7.8,2.5,1.5,0,15,501.7,501.7,62.2,2.5,36,40.2,0,11.7,29.5,9.8,
1/22/2023,Lunch,442.4,8.1,3.8,0,0,0,19.6,406.7,311.9,53.1,5.4,3.5,35.9,0,0.9,16.1,3.8,
1/22/2023,Morning,264.4,5.1,2.7,0,0.3,0,20,586.2,188.3,34.2,3.3,3.8,18.3,18.6,8,63.6,10.1,
1/22/2023,PreWorkout,464.7,6.4,2.3,1.5,1.4,0,12.5,1646.5,959.1,99.2,8.4,23,13.3,17.3,23.5,36.5,100,
1/23/2023,Breakfast,430.1,15.9,5.2,1.4,4.7,0,184.7,160.3,249.4,49.2,9.2,18,23.5,5.8,0,72,13.3,
1/23/2023,Dinner,416.3,8.8,1,0.8,0.8,0,45,520.2,700.1,49.2,2.7,4.7,33.5,5.8,5.7,2.7,10.1,
1/23/2023,Evening,393.9,5.4,0.8,1,1,0,0,564.9,127.5,61.1,4.3,24.5,27.1,19.2,27.2,28.5,39.7,
1/23/2023,Lunch,572.4,12.6,3.8,0,0,0,19.6,506.7,341.9,74.1,5.4,6.5,37.9,0,0.9,16.1,3.8,
1/23/2023,Morning,469.5,15.7,5,0.3,3.4,0,119.6,391.4,861.7,48.7,6.8,10.9,29.4,1011.4,63.9,67.8,13.5,
1/23/2023,PreWorkout,437.4,6.4,2.3,1.5,1.4,0,12.5,1651.6,994.9,91.4,8.7,37.2,13.4,17.6,24.4,37,100,
1/24/2023,Breakfast,430.1,15.9,5.2,1.4,4.7,0,184.7,160.3,249.4,49.2,9.2,18,23.5,5.8,0,72,13.3,
1/24/2023,Dinner,392.8,9.8,0.8,0.1,0,0,58.3,840.6,487.9,50.8,2.9,14.1,25.5,98.6,54.1,10.3,3.3,
1/24/2023,Evening,357.8,7.5,2.5,0,0,0,15,338.9,306.9,33.7,0,17.4,36.4,0,12.3,24.3,0,
1/24/2023,Lunch,566.4,8.7,4,0.2,0.2,0,19.6,410.7,663.9,84.7,7,33.3,37.1,4,12.9,18.1,5.8,
1/24/2023,Morning,469.5,15.7,5,0.3,3.4,0,119.6,391.4,861.7,48.7,6.8,10.9,29.4,1011.4,63.9,67.8,13.5,
1/24/2023,PreWorkout,521.2,6.3,1.5,1.3,1.3,0,12.5,1952.5,220,108.6,5,37,12.5,25,25,42,51,
1/25/2023,Breakfast,430.1,15.9,5.2,1.4,4.7,0,184.7,160.3,249.4,49.2,9.2,18,23.5,5.8,0,72,13.3,
1/25/2023,Dinner,392.8,9.8,0.8,0.1,0,0,58.3,840.6,487.9,50.8,2.9,14.1,25.5,98.6,54.1,10.3,3.3,
1/25/2023,Evening,357.8,7.5,2.5,0,0,0,15,338.9,306.9,33.7,0,17.4,36.4,0,12.3,24.3,0,
1/25/2023,Lunch,566.4,8.7,4,0.2,0.2,0,19.6,410.7,663.9,84.7,7,33.3,37.1,4,12.9,18.1,5.8,
1/25/2023,Morning,469.5,15.7,5,0.3,3.4,0,119.6,391.4,861.7,48.7,6.8,10.9,29.4,1011.4,63.9,67.8,13.5,
1/25/2023,PreWorkout,521.2,6.3,1.5,1.3,1.3,0,12.5,1952.5,220,108.6,5,37,12.5,25,25,42,51,
1/26/2023,Breakfast,279.6,7.8,1.7,0.7,4.2,0,184.7,157.1,170.9,32.9,6.5,13.4,19.3,5.8,0,31,8.3,
1/26/2023,Dinner,330,5,3,0,0,0,10,1060,0,63,2,9,8,2,0,2,4,
1/26/2023,Evening,533.3,20.6,6.6,1.2,1.2,0,12.5,494.4,872.8,59.8,7.9,18.5,33.7,12.3,18.3,43.2,94.5,
1/26/2023,Lunch,442.4,8.1,3.8,0,0,0,19.6,406.7,311.9,53.1,5.4,3.5,35.9,0,0.9,16.1,3.8,
1/26/2023,Morning,469.5,15.7,5,0.3,3.4,0,119.6,391.4,861.7,48.7,6.8,10.9,29.4,1011.4,63.9,67.8,13.5,
1/26/2023,PreWorkout,659,6.9,1.7,1.5,1.5,0,12.5,2086.5,672,117.1,6.6,66.8,38.7,29,47,54,53,
1/27/2023,Breakfast,283.8,8.1,1.8,0.7,4.3,0,195.8,161.3,170.9,32.9,6.5,13.4,19.6,6.1,0,31.1,8.6,
1/27/2023,Dinner,392.8,9.8,0.8,0.1,0,0,58.3,840.6,487.9,50.8,2.9,14.1,25.5,98.6,54.1,10.3,3.3,
1/27/2023,Evening,593.3,17.5,7.6,0.2,0.2,0,5,367.6,765,80.7,18.2,48.5,41.8,4,16.7,22,32.6,
1/27/2023,Lunch,442.4,8.1,3.8,0,0,0,19.6,406.7,311.9,53.1,5.4,3.5,35.9,0,0.9,16.1,3.8,
1/27/2023,Morning,469.5,15.7,5,0.3,3.4,0,119.6,391.4,861.7,48.7,6.8,10.9,29.4,1011.4,63.9,67.8,13.5,
1/27/2023,PreWorkout,521.2,6.3,1.5,1.3,1.3,0,12.5,1952.5,220,108.6,5,37,12.5,25,25,42,51,
1/28/2023,Breakfast,430.8,12.7,2.3,0.7,4.3,0,195.8,191.7,279.4,56.2,9,19,22.6,6.1,0,32.7,14.2,
1/28/2023,Dinner,544.5,15.1,9.4,0,0,0,47.2,1206.7,236,52,3.8,9.4,47.7,0,10,57.2,11.3,
1/28/2023,Evening,466.6,13.5,5,0,0,0,5,383.3,280.3,61.3,15,17,35.3,0,3.3,14.4,26.2,
1/28/2023,Lunch,264.4,5.1,2.7,0,0.3,0,20,586.2,188.3,34.2,3.3,3.8,18.3,18.6,8,63.6,10.1,
1/28/2023,Morning,416.7,12.7,4.7,0.1,1.1,0,119.6,356.7,785.8,42.8,6.8,8.6,29.1,1011.4,63.9,52.6,12,
1/28/2023,PreWorkout,581.2,6.3,1.5,1.3,1.3,0,12.5,1957.5,220,122.6,5,50,12.5,25,25,42,51,
1/29/2023,Breakfast,429.4,12.6,2.3,0.7,4.3,0,192.1,190.3,279.4,56.2,9,19,22.5,6,0,32.7,14.1,
1/29/2023,Dinner,258,6.5,1.3,0.4,0.4,0,3.4,324.1,313.6,20.8,3.9,4,29.4,43.5,61.5,11.7,11.3,
1/29/2023,Evening,548.4,13.5,5,0,0,0,5,390.1,280.3,80.4,15,34.7,35.3,0,3.3,14.4,26.2,
1/29/2023,Lunch,426.2,6.4,2.3,1.5,1.4,0,12.5,336.5,969.9,87.8,8.5,36.4,13.3,17.4,23.8,36.7,99,
1/29/2023,Morning,495.2,11.1,4.1,0.2,2.3,0,19.6,441.4,387.8,59.5,5.4,5.8,36.2,0,0.9,31.3,5.3,
1/29/2023,PreWorkout,530,14,5,5,3,0,0,470,100,71,1,30,29,0,10,10,8,
1/30/2023,Breakfast,437.8,13.2,2.5,0.8,4.5,0,214.3,198.7,279.4,56.2,9,19,23.2,6.7,0,32.9,14.6,
1/30/2023,Dinner,432.9,19.6,6.8,0.1,0,0,103.8,535.7,1599.2,36.6,4.9,4.8,27.5,84.5,134.8,30.9,20.5,
1/30/2023,Evening,228.4,3.4,1.5,0.5,0.5,0,5,250.9,140,42.5,1.8,24,7.8,9.2,9.2,17.2,22.3,
1/30/2023,Lunch,566.4,8.7,4,0.2,0.2,0,19.6,410.7,663.9,85.2,7,33.3,37.1,4,12.9,18.1,5.8,
1/30/2023,Morning,459.9,15.9,5.1,0.4,3.4,0,119.6,401.2,1051.3,47.4,6.4,10.6,29.1,1008.7,93.1,69.3,13.2,
1/30/2023,PreWorkout,608.6,6.8,2.4,1.7,1.6,0,12.5,1806.9,1122.7,107.3,9.3,24.2,39.6,19.1,35.6,48.4,110.8,
1/31/2023,Breakfast,437.8,13.2,2.5,0.8,4.5,0,214.3,198.7,279.4,56.2,9,19,23.2,6.7,0,32.9,14.6,
1/31/2023,Dinner,432.9,19.6,6.8,0.1,0,0,103.8,535.7,1599.2,36.6,4.9,4.8,27.5,84.5,134.8,30.9,20.5,
1/31/2023,Evening,228.4,3.4,1.5,0.5,0.5,0,5,250.9,140,42.5,1.8,24,7.8,9.2,9.2,17.2,22.3,
1/31/2023,Lunch,566.4,8.7,4,0.2,0.2,0,19.6,410.7,663.9,85.2,7,33.3,37.1,4,12.9,18.1,5.8,
1/31/2023,Morning,459.9,15.9,5.1,0.4,3.4,0,119.6,401.2,1051.3,47.4,6.4,10.6,29.1,1008.7,93.1,69.3,13.2,
1/31/2023,PreWorkout,608.6,6.8,2.4,1.7,1.6,0,12.5,1806.9,1122.7,107.3,9.3,24.2,39.6,19.1,35.6,48.4,110.8,
2/1/2023,Breakfast,482.2,15.3,2.7,0.8,4.6,0,218,208.7,313.8,60.2,10.2,19,24.7,6.8,0,31.8,16.3,
2/1/2023,Dinner,489.4,5.9,2.7,0,0.3,0,20,1096.2,188.3,80.7,4.8,5.3,25.8,18.6,8,69.6,13.1,
2/1/2023,Evening,458.2,12.5,5,0,0,0,20,386.6,273.6,49.6,0,23.4,35.1,0,11,19,4,
2/1/2023,Lunch,442.4,8.1,3.8,0,0,0,19.6,406.7,311.9,53.6,5.4,3.5,35.9,0,0.9,16.1,3.8,
2/1/2023,Morning,459.9,15.9,5.1,0.4,3.4,0,119.6,401.2,1051.3,47.4,6.4,10.6,29.1,1008.7,93.1,69.3,13.2,
2/1/2023,PreWorkout,404.4,6.8,2.4,1.7,1.6,0,12.5,1675.9,1054.9,83.2,9.5,25.3,14.2,19.3,26.4,38.8,110.8,
2/2/2023,Breakfast,286.6,8.3,1.9,0.7,4.4,0,203.2,164.1,170.9,32.9,6.5,13.4,19.9,6.4,0,31.2,8.7,
2/2/2023,Dinner,670,24,15,0,0,0,85,1530,613,79,4,12,29,0,0,39,5.6,
2/2/2023,Evening,364.6,4.5,2,1,1,0,5,377.3,503.3,45.1,4,15,38.3,10,21.3,29.3,74,
2/2/2023,Lunch,442.4,8.1,3.8,0,0,0,19.6,406.7,311.9,53.6,5.4,3.5,35.9,0,0.9,16.1,3.8,
2/2/2023,Morning,459.9,15.9,5.1,0.4,3.4,0,119.6,401.2,1051.3,47.4,6.4,10.6,29.1,1008.7,93.1,69.3,13.2,
2/2/2023,PreWorkout,631.2,6.3,1.5,1.3,1.3,0,12.5,1977.5,220,135.6,5,61,12.5,25,25,42,51,
2/3/2023,Breakfast,290.8,8.6,2,0.8,4.5,0,214.3,168.3,170.9,32.9,6.5,13.4,20.2,6.7,0,31.3,9,
2/3/2023,Dinner,409.3,2.9,0.6,0.1,0,0,70,578.3,724,66.3,4.1,16.8,28.2,631.5,94.8,5.4,3.4,
